col,word,df,tf
2800,newest,2,2
2801,newjeans,50,53
2802,newly,2,2
2803,news,78,85
2804,newsweek,3,3
2805,newsweekjapan,2,2
2806,next,10,10
2807,nexus,5,5
2808,nfl,2,2
2809,nft,2,2
2810,ng,23,56
2811,ngo,4,4
2812,nh,15,32
2813,nhanh,3,3
2814,nhi,3,5
2815,nhk,21,23
2816,nhk오사카홀,2,2
2817,nh투자증권,3,3
2818,nice,6,6
2819,nicknamed,4,4
2820,nien,2,2
2821,night,18,19
2822,nights,6,6
2823,nike,5,6
2824,nine,8,8
2825,nippon,2,2
2826,nivel,2,2
2827,niziu,2,2
2828,njpac,4,4
2829,njz,5,5
2830,nmb48,2,2
2831,nme,21,22
2832,nmixx,42,45
2833,noeasy,3,3
2834,noises,4,4
2835,nol,19,19
2836,nol티켓,3,3
2837,nomad,3,3
2838,non,7,7
2839,nonono,3,4
2840,nonstop,2,2
2841,norte,2,2
2842,north,23,24
2843,notable,3,3
2844,note,3,3
2845,noted,8,8
2846,nothing,4,4
2847,notices,2,2
2848,noticias,3,3
2849,noting,7,7
2850,nov,34,38
2851,november,14,14
2852,now,20,20
2853,nowitzki,14,15
2854,nownews,3,3
2855,nswer,10,11
2856,nt,4,5
2857,ntt,2,2
2858,nuestros,2,2
2859,number,3,3
2860,numero,5,5
2861,nxde,7,8
2862,nylon,3,3
2863,nz,8,8
2864,o2,6,6
2865,oakland,2,2
2866,oasis,3,3
2867,occitane,2,3
2868,oceania,2,2
2869,oct,29,30
2870,october,12,13
2871,odd,2,2
2872,oddinary,4,4
2873,ode,3,3
2874,odyssey,2,2
2875,office,3,3
2876,official,154,172
2877,offline,3,3
2878,oh,17,20
2879,ok,3,3
2880,old,2,2
2881,olympic,18,18
2882,omelete,2,2
2883,omg,3,3
2884,once,13,17
2885,ongoing,11,11
2886,online,12,12
2887,only,18,18
2888,oo,2,2
2889,op,3,3
2890,open,5,5
2891,opened,14,15
2892,opening,13,13
2893,operated,2,2
2894,operates,3,3
2895,oppa,2,2
2896,oppo,4,4
2897,opposite,2,2
2898,orange,3,3
2899,orchestra,4,4
2900,order,5,5
2901,orders,10,12
2902,ordinary,2,2
2903,org,9,10
2904,organization,4,4
2905,organized,9,9
2906,organizes,2,2
2907,oricon,103,113
2908,origin,8,8
2909,original,12,12
2910,originally,4,4
2911,os,2,2
2912,osaka,17,17
2913,osen,2,2
2914,ost,210,291
2915,ost상,7,8
2916,ototoy,7,7
2917,ott,12,12
2918,outlet,12,12
2919,outselling,2,2
2920,outside,10,10
2921,outsized,2,2
2922,outwest,2,2
2923,overall,4,4
2924,overseas,9,9
2925,overwatch,2,2
2926,overwhelming,4,4
2927,ovo,3,3
2928,owari,2,2
2929,owls,3,3
2930,own,11,11
2931,pa,3,3
2932,pabllo,4,4
2933,pacific,4,4
2934,package,2,2
2935,packages,2,2
2936,page,37,37
2937,pages,6,6
2938,paid,6,6
2939,paired,2,2
2940,pak,2,4
2941,palacio,2,2
2942,palette,3,3
2943,panda,2,2
2944,panorama,2,2
2945,pantip,9,9
2946,pap,2,2
2947,para,8,10
2948,paradise,6,6
2949,parallel,2,2
2950,paris,11,11
2951,park,35,35
2952,parkhyoshin,2,2
2953,part,58,69
2954,participating,4,4
2955,partnered,2,2
2956,partners,3,3
2957,partnership,2,2
2958,party,10,10
2959,pas,2,2
2960,passed,2,2
2961,past,4,4
2962,pat,2,3
2963,pattern,2,2
2964,paulo,5,5
2965,pay,3,3
2966,paying,3,3
2967,pd,8,8
2968,peace,3,3
2969,peak,5,5
2970,peaked,12,13
2971,pechanga,3,3
2972,penonton,2,2
2973,people,9,9
2974,pepero,2,2
2975,pepsi,5,5
2976,perfect,9,10
2977,perform,10,11
2978,performance,26,26
2979,performances,16,16
2980,performed,20,20
2981,performing,6,6
2982,period,3,4
2983,permission,2,2
2984,person,2,2
2985,persona,4,4
2986,personal,3,3
2987,personally,2,2
2988,personas,2,2
2989,pertama,2,2
2990,peru,2,2
2991,ph,6,6
2992,pharita,2,2
2993,pharmaceutical,2,2
2994,phase,4,4
2995,philippine,3,3
2996,philippines,5,5
2997,philstar,2,2
2998,phone,5,5
2999,phong,2,2
3000,photo,7,9
3001,photocards,3,3
3002,photos,2,2
3003,physical,8,8
3004,pia,2,2
3005,pidamente,2,2
3006,piece,8,8
3007,pieces,2,2
3008,pil,5,5
3009,pink,31,33
3010,pinkvilla,11,11
3011,pit,4,4
3012,pitch,2,2
3013,pixel,2,2
3014,pizza,5,5
3015,place,2,2
3016,placed,4,4
3017,placement,2,2
3018,planet,11,11
3019,planned,5,5
3020,planning,3,3
3021,plant,2,2
3022,platform,26,26
3023,platforms,5,5
3024,platinum,13,15
3025,play,16,17
3026,playbaek,2,2
3027,played,7,7
3028,playing,2,2
3029,playlist,2,2
3030,playstation,2,2
3031,pledge,2,2
3032,pledged,3,3
3033,pledging,2,2
3034,pledis,8,8
3035,plot,4,4
3036,plus,19,19
3037,pm,2,2
3038,po,2,2
3039,pocari,2,2
3040,poem,5,6
3041,point,2,2
3042,points,2,2
3043,pollstar,2,2
3044,pond,2,2
3045,pony,3,3
3046,pook,4,4
3047,pop,249,285
3048,popline,2,2
3049,pops,2,2
3050,popular,6,6
3051,popularity,8,8
3052,popularizing,2,2
3053,por,4,4
3054,portal,2,2
3055,posay,3,3
3056,poser,2,2
3057,post,12,12
3058,posted,5,5
3059,posting,3,3
3060,posts,3,3
3061,potential,2,2
3062,power,25,25
3063,pr,12,12
3064,prada,4,4
3065,praised,3,3
3066,praising,2,2
3067,prayfordominate,2,2
3068,pre,14,18
3069,premiere,7,7
3070,premiered,2,2
3071,premium,4,4
3072,presale,25,29
3073,presence,5,5
3074,present,2,2
3075,presents,2,2
3076,president,2,3
3077,press,27,27
3078,pretty,3,3
3079,previewed,3,3
3080,previous,2,2
3081,priced,3,3
3082,prices,2,2
3083,primadonna,4,4
3084,prime,3,3
3085,primer,2,2
3086,prince,2,2
3087,print,2,2
3088,prior,10,10
3089,priority,3,3
3090,prison,2,2
3091,prize,3,3
3092,probable,2,2
3093,proceed,3,3
3094,proceeded,2,2
3095,proceeds,7,7
3096,proceso,3,3
3097,produce,2,2
3098,produce48,2,2
3099,produced,5,5
3100,producer,2,2
3101,product,4,4
3102,production,5,5
3103,products,2,2
3104,profile,11,11
3105,profit,3,4
3106,program,3,3
3107,project,10,10
3108,projected,2,2
3109,prom,3,3
3110,promise,2,2
3111,promoting,2,2
3112,promotion,6,6
3113,promotional,8,8
3114,promotions,2,2
3115,prompting,5,5
3116,proof,2,2
3117,protest,2,2
3118,provenance,3,3
3119,pr타임즈,2,2
3120,psy,24,29
3121,psycho,2,2
3122,pt,8,9
3123,ptt,2,2
3124,pubg,8,8
3125,public,7,7
3126,publicly,8,8
3127,published,14,14
3128,pulse,8,8
3129,puma,7,7
3130,purchase,9,9
3131,purchases,2,2
3132,purchasing,4,4
3133,pure,2,2
3134,pureflow,9,10
3135,purple,2,2
3136,purpleocean,2,2
3137,push,7,9
3138,put,5,5
3139,pyongyang,2,2
3140,qq,26,29
3141,qq뮤직,10,10
3142,qq음악,2,2
3143,qu,6,6
3144,que,9,13
3145,queen,12,12
3146,queencard,4,4
3147,queens,3,3
3148,quoting,5,5
3149,qwer,79,88
3150,rabbits,2,2
3151,radar,4,4
3152,radio,12,12
3153,rag,5,5
3154,ragnet,2,2
3155,rain,7,7
3156,rainbow,6,6
3157,raised,5,6
3158,raising,2,2
3159,ran,26,26
3160,range,6,6
3161,ranked,24,24
3162,ranking,29,29
3163,rankings,11,11
3164,rapid,3,3
3165,rapidly,3,3
3166,rare,2,2
3167,rather,7,7
3168,ray,2,2
3169,rbb,5,5
3170,rbw,7,8
3171,rcti,3,3
3172,re,18,19
3173,reach,11,11
3174,reached,26,26
3175,reaching,7,7
3176,reaction,3,4
3177,reactions,2,2
3178,readership,2,2
3179,ready,10,10
3180,real,22,23
3181,reality,3,3
3182,rebel,5,6
3183,received,5,5
3184,recinto,2,2
3185,recognition,8,8
3186,recognized,4,4
3187,record,43,46
3188,recorded,5,5
3189,recording,4,4
3190,records,12,12
3191,recreio,3,3
3192,recruitment,9,9
3193,recurring,2,2
3194,red,58,65
3195,redline,2,2
3196,redred,4,4
3197,reference,8,9
3198,referenced,3,3
3199,reflecting,27,27
3200,refleja,2,2
3201,refund,2,2
3202,regional,13,13
3203,regions,4,4
3204,registration,3,3
3205,regular,2,2
3206,regularly,3,3
3207,rei,2,2
3208,relaci,2,2
3209,related,3,3
3210,relations,2,2
3211,relationship,2,2
3212,release,59,60
3213,released,22,22
3214,releases,7,7
3215,releasing,7,7
3216,relief,16,21
3217,remake,3,3
3218,remember,2,2
3219,remine,4,4
3220,remix,6,6
3221,renewal,2,2
3222,renewed,3,3
3223,reno16,2,2
3224,rep,8,8
3225,repeat,10,10
3226,replay,8,8
3227,report,4,4
3228,reporte,2,2
3229,reportedly,6,6
3230,reporting,5,5
3231,represented,2,2
3232,representing,3,3
3233,reputation,5,7
3234,rescene,20,20
3235,research,3,3
3236,residency,2,2
3237,resonance,8,8
3238,resort,3,3
3239,respectively,3,3
3240,restaurants,3,3
3241,restricted,2,2
3242,results,3,3
3243,retail,4,5
3244,retirement,3,3
3245,return,6,6
3246,returned,5,5
3247,returning,2,2
3248,reunion,13,13
3249,reunited,6,6
3250,reve,2,2
3251,reve1uv,2,2
3252,reveal,3,3
3253,revealed,4,4
3254,reveluv,7,8
3255,revenue,15,16
3256,reverxe,3,3
3257,revista,6,6
3258,rhythm,3,3
3259,ri,3,3
3260,riaa,2,2
3261,riaj,4,5
3262,rica,2,2
3263,rice,2,2
3264,right,7,7
3265,riize,53,62
3266,riizing,8,9
3267,rio,5,6
3268,rise,2,2
3269,rises,2,2
3270,rising,6,6
3271,riuh,2,2
3272,rk,2,2
3273,rkiye,3,3
3274,rm,10,12
3275,rnz,2,2
3276,road,6,7
3277,robot,4,4
3278,roche,3,3
3279,rock,12,13
3280,rockation,11,12
3281,rocket,3,3
3282,roirom,2,2
3283,role,8,8
3284,roles,4,4
3285,roll,2,2
3286,rolling,20,20
3287,rolls,6,6
3288,romance,5,5
3289,romantic,3,3
3290,rookie,17,17
3291,room,15,15
3292,roots,3,3
3293,ros,3,3
3294,rose,7,7
3295,roster,3,3
3296,rouge,3,3
3297,rough,2,2
3298,roughly,21,21
3299,round,7,8
3300,roundup,2,2
3301,route,2,2
3302,roy,6,6
3303,royrose,3,3
3304,rpp,2,3
3305,rriyet,5,5
3306,ru,31,31
3307,rubi,8,8
3308,rude,7,7
3309,rui,3,3
3310,rumors,5,5
3311,run,23,25
3312,runaway,3,3
3313,runner,2,2
3314,running,10,10
3315,runs,5,5
3316,rush,16,16
3317,russh,2,2
3318,ryo,2,2
3319,ryu,2,2
3320,ryujin,2,2
3321,r석,3,3
3322,s2u,3,3
3323,sa,2,2
3324,sad,2,2
3325,sae,5,5
3326,sailing,2,2
3327,saint,4,4
3328,saitama,2,2
3329,salah,2,2
3330,saldaga,2,2
3331,sale,13,13
3332,sales,53,57
3333,sambil,2,2
3334,same,20,20
3335,samsung,6,6
3336,san,2,2
3337,sana,2,2
3338,sang,3,3
3339,sanook,3,3
3340,santiago,3,3
3341,satisfaction,3,3
3342,satu,3,3
3343,sau,2,2
3344,savage,3,4
3345,save,2,2
3346,saw,6,6
3347,say,8,8
3348,saying,4,4
3349,sbs,156,164
3350,sbs가요대전,2,2
3351,sbs뉴스,3,3
3352,sc,3,3
3353,scale,2,2
3354,scalped,2,2
3355,scandal,3,3
3356,scenario,4,4
3357,scene,7,7
3358,scenedrome,2,2
3359,scenes,3,3
3360,scenestr,2,2
3361,schedule,6,6
3362,scheduled,7,7
3363,school,8,8
3364,scored,4,4
3365,scouts,2,2
3366,screen,5,5
3367,screenx,3,3
3368,sdgs,3,3
3369,se,8,10
3370,sea,4,4
3371,search,6,6
3372,searched,2,2
3373,season,12,12
3374,seasons,3,3
3375,seat,3,3
3376,seats,10,11
3377,sebagai,2,2
3378,sechskies,10,14
3379,seconds,2,2
3380,secret,9,9
3381,sections,2,2
3382,sector,3,3
3383,secured,5,5
3384,securities,3,3
3385,see,4,4
3386,seed,2,2
3387,seezn,2,2
3388,seguidores,3,3
3389,seguros,5,5
3390,sejeong,2,2
3391,sejong,2,2
3392,sekai,2,2
3393,sekali,2,2
3394,selatan,2,2
3395,selected,9,10
3396,selection,3,3
3397,selena,2,2
3398,self,8,10
3399,sell,4,4
3400,seller,5,5
3401,sellers,3,3
3402,selling,26,27
3403,sellout,4,4
3404,sellouts,6,6
3405,senka,3,3
3406,sent,2,2
3407,seo,4,4
3408,seojin,4,4
3409,seok,2,2
3410,seolleongtang,2,2
3411,seoul,111,119
3412,sep,2,2
3413,separate,7,7
3414,separately,5,5
3415,sept,30,31
3416,september,12,13
3417,serenade,10,10
3418,serenades,6,6
3419,series,15,15
3420,served,3,3
3421,server,2,2
3422,service,3,3
3423,sessions,4,4
3424,set,15,15
3425,setlist,4,4
3426,seulgi,5,5
3427,seung,6,6
3428,seven,9,9
3429,seventeen,31,36
3430,seventeenth,6,6
3431,several,2,2
3432,sg,5,6
3433,sg워너비,51,54
3434,shape,4,4
3435,share,2,2
3436,shared,2,2
3437,sharing,3,3
3438,sheep,2,2
3439,shibuya,3,3
3440,shift,2,2
3441,shin,5,5
3442,shinee,20,25
3443,shinhan,4,4
3444,shinjuku,2,2
3445,shinsegae,2,2
3446,shock,2,2
3447,shop,10,10
3448,shopee,12,12
3449,shopping,3,3
3450,show,111,118
3451,show5,5,5
3452,showcase,6,6
3453,showed,3,3
3454,showing,20,20
3455,shows,49,57
3456,showtime,4,4
3457,shy,6,6
3458,si,9,9
3459,side,4,4
3460,sign,5,5
3461,signed,8,8
3462,significant,2,2
3463,signing,3,3
3464,silver,2,2
3465,simon,2,2
3466,simple,2,2
3467,simulcast,3,3
3468,simultaneous,3,3
3469,simultaneously,3,3
3470,sina,44,53
3471,singapore,19,22
3472,singer,27,28
3473,singers,4,4
3474,singing,3,3
3475,single,66,70
3476,singles,31,35
3477,sisters,2,2
3478,site,22,22
3479,sites,2,2
3480,six,18,18
3481,sk,8,8
3482,skibidi,2,2
3483,skincare,5,5
3484,skiyaki,2,2
3485,skool,2,2
3486,sky,8,8
3487,skz,3,3
3488,sk텔레콤,4,4
3489,slam,2,2
3490,slip,2,2
3491,slow,4,4
3492,sm,55,68
3493,sma,2,2
3494,small,4,4
3495,smart,4,4
3496,smartphone,3,3
3497,smile,4,4
3498,smiley,5,6
3499,smoke,3,3
3500,smtown,7,7
3501,sm엔터테인먼트,63,64
3502,sm엔터테인먼트와,2,2
3503,sneakers,2,2
3504,snl,5,5
3505,snow,8,9
3506,sns,61,63
3507,social,6,6
3508,society,4,4
3509,soda,5,10
3510,sofi,3,3
3511,soft,3,3
3512,soju,5,6
3513,sol,8,8
3514,sold,174,211
3515,solo,67,72
3516,soloist,2,2
3517,sol페,4,4
3518,someday,3,3
3519,something,2,2
3520,son,2,2
3521,sone,2,3
3522,song,66,72
3523,songs,29,30
3524,sonic,4,4
3525,sony,4,4
3526,soompi,12,12
3527,soon,3,3
3528,sorrow,2,2
3529,sorry,5,9
3530,soul,25,26
3531,sound,4,4
3532,soundtrack,2,2
3533,sour,2,2
3534,source,2,2
3535,south,38,38
3536,southeast,16,17
3537,soyuz,2,2
3538,space,3,3
3539,spain,3,3
3540,spanish,9,10
3541,spanned,2,2
3542,spanning,10,10
3543,spans,7,7
3544,spark,2,2
3545,sparkling,5,5
3546,speak,6,6
3547,speaking,2,2
3548,special,18,19
3549,specific,3,3
3550,specifically,12,12
3551,spectators,5,5
3552,speculum,2,2
3553,speed,3,3
3554,spice,4,6
3555,spill,2,2
3556,spillover,11,11
3557,spincoaster,3,3
3558,spinning,2,2
3559,split,2,2
3560,sport,2,2
3561,sports,9,9
3562,spot,13,13
3563,spotify,24,26
3564,spotlight,4,4
3565,spring,5,5
3566,sprite,6,6
3567,sprx,4,4
3568,spur,3,3
3569,square,6,6
3570,sserafim,47,47
3571,sseudam,2,4
3572,stade,2,2
3573,stadium,39,51
3574,stadiums,2,2
3575,staff,3,3
3576,stage,33,33
3577,staged,3,3
3578,stanbul,2,2
3579,standard,7,7
3580,standing,3,3
3581,star,52,53
3582,stardust,4,4
3583,starlight,2,2
3584,starnewskorea,2,2
3585,starring,2,2
3586,stars,8,8
3587,start,5,5
3588,started,2,2
3589,starting,7,7
3590,states,3,3
3591,stating,3,3
3592,station,4,4
3593,status,6,6
3594,stay,33,35
3595,stayc,57,63
3596,stayed,3,3
3597,stayreal,3,3
3598,ste,2,3
3599,stereotype,5,5
3600,stick,2,2
3601,still,4,5
3602,stock,3,3
3603,stone,22,22
3604,stop,15,15
3605,stopped,2,2
3606,stops,15,15
3607,store,11,12
3608,stores,4,4
3609,storm,2,2
3610,story,13,13
3611,strawberry,4,4
3612,stray,48,54
3613,straycity,3,3
3614,streamable,2,2
3615,streamed,3,3
3616,streaming,19,20
3617,streams,12,16
3618,street,2,2
3619,strength,2,2
3620,strong,12,12
3621,structure,2,2
3622,students,2,2
3623,studio,13,13
3624,studios,2,2
3625,study,2,2
3626,stuff,6,6
3627,style,16,17
3628,styling,2,2
3629,stylish,4,4
3630,su,7,7
3631,suara,3,3
3632,sub,3,4
3633,subdomain,3,3
3634,subscribers,9,11
3635,subsequent,2,2
3636,subway,3,3
3637,success,3,3
3638,successful,2,2
3639,sud,2,3
3640,suddenly,4,4
3641,sugar,5,5
3642,suho,2,2
3643,suite,3,3
3644,suk,4,4
3645,sukses,2,2
3646,summer,34,35
3647,summit,2,2
3648,sun,6,7
3649,sunday,2,2
3650,sung,9,9
3651,sunlight,2,2
3652,sunrise,3,3
3653,sunsilk,2,2
3654,super,49,55
3655,supernova,6,6
3656,supersonic,4,4
3657,superstar,3,3
3658,support,13,13
3659,supported,2,2
3660,supporting,9,9
3661,supra,2,2
3662,sur,2,2
3663,surcoreano,2,3
3664,surfin,3,3
3665,surpass,2,2
3666,surpassed,12,12
3667,surpassing,9,9
3668,surprise,3,3
3669,survey,2,2
3670,sus,3,3
3671,suspicious,2,2
3672,sustained,24,24
3673,sustaining,2,2
3674,suv,3,3
3675,svt,3,3
3676,swag,6,6
3677,sweat,7,7
3678,sweeping,2,2
3679,sweet,3,3
3680,swift,2,3
3681,swim,2,2
3682,switched,2,2
3683,swith,11,11
3684,symphony,2,2
3685,syndrome,2,2
3686,synk,11,11
3687,syria,2,2
3688,system,2,2
3689,s라인,2,2
3690,tabloid,2,2
3691,tae,2,2
3692,taemin,2,2
3693,taeyeon,5,5
3694,tai,2,2
3695,taiji,2,2
3696,taipei,22,25
3697,taiwan,17,22
3698,tak,13,13
3699,take,9,9
3700,takedown,2,2
3701,talk,6,7
3702,tang,5,6
3703,targeting,4,4
3704,tasman,2,2
3705,taste,4,4
3706,tay,2,2
3707,taylor,2,2
3708,tbs,6,6
3709,tea,4,4
3710,team,10,10
3711,teamexoindia,2,2
3712,tears,5,5
3713,teaser,3,3
3714,teddy,6,6
3715,teen,4,4
3716,teenagers,2,2
3717,teenfresh,6,6
3718,telecom,4,4
3719,telemundo,3,3
3720,television,2,2
3721,tempo,3,3
3722,temptation,3,3
3723,ten,17,18
3724,tenasia,2,2
3725,tencent,5,5
3726,tense,2,2
3727,teo,3,3
3728,terbesar,2,2
3729,terlihat,2,2
3730,term,6,6
3731,tero,2,2
3732,terra,19,19
3733,tersebut,3,3
3734,th,23,25
3735,thai,9,9
3736,thailand,22,25
3737,thairath,25,25
3738,thaiticketmajor,3,3
3739,thanh,2,2
3740,thanked,3,3
3741,theater,4,4
3742,theaters,3,3
3743,theatre,7,7
3744,thegirl,3,3
3745,them,11,11
3746,theme,2,3
3747,themed,2,2
3748,themselves,3,3
3749,theo,6,6
3750,theory,4,4
3751,there,11,11
3752,things,3,3
3753,threads,3,3
3754,through,17,17
3755,ti,7,9
3756,tica,2,2
3757,ticc,7,7
3758,ticket,33,34
3759,ticketing,16,17
3760,ticketlink,2,2
3761,ticketmaster,2,2
3762,tickets,43,45
3763,ticos,2,2
3764,tied,14,14
3765,tiempo,2,2
3766,tier,3,3
3767,tiered,5,5
3768,tiers,3,3
3769,ties,2,2
3770,tiket,3,3
3771,tiktok,2,2
3772,tima,2,2
3773,timable,2,2
3774,time,64,65
3775,timed,7,7
3776,timeless,4,4
3777,times,31,31
3778,tiny,4,5
3779,title,8,8
3780,titled,4,4
3781,tmea,2,2
3782,tmelive,4,4
3783,tnn,2,2
3784,toc,2,6
3785,tod,2,2
3786,today,10,10
3787,together,15,15
3788,tokopedia,2,2
3789,tokyo,47,49
3790,told,2,2
3791,tomboy,5,5
3792,tomorrow,7,7
3793,tonight,3,3
3794,top,59,69
3795,top10,2,3
3796,top100,3,3
3797,topic,5,5
3798,topped,27,27
3799,topping,5,5
3800,toronto,2,2
3801,total,34,35
3802,touch,3,3
3803,tour,279,320
3804,toured,3,3
3805,touring,11,11
3806,tourism,15,19
3807,tours,8,8
3808,towards,5,5
3809,town,4,5
3810,tr,10,10
3811,track,20,21
3812,tracked,15,15
3813,tracking,3,3
3814,tracks,9,9
3815,tradition,2,2
3816,trafalgar,2,2
3817,tragedy,5,5
3818,trailing,2,2
3819,transaction,2,2
3820,transparent,2,2
3821,travel,10,10
3822,trax,3,3
3823,treasure,5,5
3824,treasures,2,2
3825,treatment,2,2
3826,tree,4,4
3827,trending,4,4
3828,tres,2,2
3829,tri,3,3
3830,tribunnews,2,2
3831,tricycle,2,2
3832,trip,4,4
3833,triple,4,4
3834,trong,4,4
3835,trophies,3,3
3836,trophy,3,3
3837,trot,19,24
3838,true,6,6
3839,trueid,2,2
3840,trust,4,5
3841,truy,2,2
3842,try,3,3
3843,tu,7,7
3844,tucson,2,2
3845,tuned,9,9
3846,tunnel,6,6
3847,turkey,5,5
3848,tv,60,61
3849,tving,7,8
3850,tvn,81,85
3851,tvxq,9,10
3852,tv광,5,5
3853,tv광고,5,5
3854,tv아사히,3,3
3855,tv조선,15,15
3856,tw,11,11
3857,twconcertview,2,2
3858,twenty,3,3
3859,twice,98,111
3860,twig24,2,2
3861,twist,4,4
3862,twitter,2,2
3863,tws,78,90
3864,txt,3,3
3865,typical,2,2
3866,t가,2,2
3867,t는,5,5
3868,t를,2,2
3869,t와,4,4
3870,t의,8,8
3871,uae,2,2
3872,uaena,2,2
3873,udn,13,14
3874,udnstyle,3,3
3875,ugg,2,2
3876,uiq,3,3
3877,uk,8,8
3878,ultra,3,3
3879,umbrella,2,2
3880,un,10,12
3881,una,4,5
3882,underprivileged,3,3
3883,underwater,2,2
3884,undivided,2,2
3885,unesco,2,2
3886,unfold,3,3
3887,unforgiven,5,5
3888,unicef,5,5
3889,union,3,3
3890,uniqlo,2,2
3891,unique,2,2
3892,unit,5,6
3893,united,4,4
3894,units,10,14
3895,universal,3,3
3896,universe,11,11
3897,university,8,9
3898,univision,10,10
3899,uno,4,4
3900,unpiltered,2,3
3901,until,5,5
3902,unusual,2,2
3903,unusually,3,3
3904,unveiled,4,4
3905,unwritten,3,3
3906,uob,3,3
3907,upcoming,2,2
3908,update,3,3
3909,updates,2,2
3910,upon,2,2
3911,ur,3,3
3912,url,5,5
3913,us,56,58
3914,usa,2,2
3915,usd,3,3
3916,used,6,6
3917,user,2,2
3918,users,3,3
3919,using,2,2
3920,uta,2,2
3921,uv,3,3
3922,vacation,4,4
3923,valenti,3,3
3924,valentine,9,9
3925,valley,2,2
3926,value,4,4
3927,vans,5,5
3928,variety,2,2
3929,ve,3,3
3930,veats,2,2
3931,vegas,3,3
3932,velvet,32,38
3933,venom,2,2
3934,venta,3,3
3935,venue,18,19
3936,venues,4,4
3937,ver,5,5
3938,vernon,2,2
3939,verse,8,8
3940,version,5,5
3941,vertical,3,3
3942,veteran,3,3
3943,vi,16,17
3944,victims,5,6
3945,video,23,24
3946,videos,6,7
3947,vietnam,3,3
3948,view,2,2
3949,viewer,2,2
3950,viewers,3,3
3951,viewership,3,3
3952,views,12,16
3953,violence,3,3
3954,vip,19,19
3955,vip석,3,3
3956,viral,8,8
3957,virtual,4,5
3958,visibility,3,3
3959,visible,2,2
3960,vision,11,11
3961,visit,7,8
3962,visited,2,2
3963,visits,2,2
3964,visual,4,4
3965,visuals,2,2
3966,vittar,2,2
3967,vivi,2,2
3968,viviz,3,5
3969,vling,2,2
3970,vlog,2,2
3971,vma,2,2
3972,vmas,2,2
3973,vn,15,15
3974,vnexpress,2,2
3975,vocal,4,4
3976,vocalist,2,2
3977,vogue,5,5
3978,voice,12,12
3979,vol,10,10
3980,vote,6,7
3981,voted,2,2
3982,votes,4,4
3983,voting,5,8
3984,voyage,7,7
3985,vr,10,13
3986,vs,3,3
3987,vuitton,9,9
3988,vulnerable,5,5
3989,vvip,3,3
3990,v앱,2,2
3991,waiting,2,2
3992,walk,3,3
3993,walking,2,2
3994,wall,6,6
3995,wanna,26,28
3996,wannabe,4,4
3997,want,14,14
3998,wanted,3,3
3999,war,4,4
4000,warner,3,3
4001,warnet,2,2
4002,warpath,2,2
4003,water,5,5
4004,waterbomb,6,7
4005,wave,15,15
4006,wavve,3,3
4007,waw,2,3
4008,way,10,10
4009,wayfarer,2,2
4010,wayv,7,9
4011,wearing,3,3
4012,webfetch,72,72
4013,week,38,45
4014,weekly,26,26
4015,weeks,22,24
4016,wego,4,5
4017,weibo,10,13
4018,welcome,10,10
4019,welfare,5,5
4020,wendy,2,2
4021,went,3,3
4022,west,2,2
4023,weverse,19,21
4024,wheein,2,2
4025,whiplash,3,3
4026,white,8,10
4027,whole,2,2
4028,whose,5,5
4029,why,4,4
4030,wide,5,5
4031,widely,2,2
4032,wiea,2,2
4033,wiki,3,4
4034,wikipedia,12,12
4035,wild,7,7
4036,wildfire,10,11
4037,win,8,9
4038,wind,3,3
4039,windows,3,3
4040,winner,2,2
4041,winning,2,2
4042,wins,7,7
4043,winter,16,16
4044,wish,11,12
4045,withc,3,3
4046,within,31,34
4047,without,7,7
4048,wm엔터테인먼트,5,5
4049,wolf,2,2
4050,wolipop,4,4
4051,woman,5,5
4052,women,2,2
4053,won,74,83
4054,wonderful,2,2
4055,wonderlust,2,2
4056,woo,5,5
4057,woong,6,6
4058,words,3,3
4059,work,6,6
4060,workplace,2,2
4061,works,2,2
4062,world,208,223
4063,worldwide,11,11
4064,worth,4,4
4065,wowkorea,4,4
4066,wowow,3,3
4067,wpma,2,2
4068,wrapped,2,2
4069,wsg워너비,2,2
4070,wwd,7,7
4071,w코리아,2,2
4072,xcx,2,3
4073,xe,2,2
4074,xiahpop,3,3
4075,xico,16,18
4076,xity,2,2
4077,xix,3,3
4078,xo,3,3
4079,xx,5,5
4080,yahoo,18,19
4081,yamaha,2,2
4082,yang,11,12
4083,yb,38,40
4084,ybeez,3,3
4085,ye,2,2
4086,year,64,68
4087,years,62,63
4088,yellow,5,5
4089,yellowkies,2,3
4090,yena,20,24
4091,yeol,2,2
4092,yeon,3,3
4093,yeri,3,3
4094,yes,3,3
4095,yes24,6,6
4096,yesasia,25,25
4097,yet,4,4
4098,yg,21,25
4099,yg엔터테인먼트,18,18
4100,yo,3,3
4101,yogibo,2,2
4102,yokohama,6,8
4103,yong,9,9
4104,yonsei,4,4
4105,yoo,2,2
4106,yoon,7,7
4107,york,13,13
4108,young,36,37
4109,younger,4,5
4110,youngest,2,2
4111,youngone,3,3
4112,youngtak,5,5
4113,younha,2,2
4114,yourself,8,12
4115,youth,11,12
4116,youthful,2,2
4117,youtube,22,22
4118,ysl,4,4
4119,ytn,4,4
4120,yu,2,2
4121,yunjin,2,2
4122,zepp,19,24
4123,zero,5,5
4124,zh,3,3
4125,zhidao,2,2
4126,zhum,3,3
4127,zico,21,22
4128,zik,2,2
4129,zion,28,31
